id,variation_value_to_product_id,value,multiplier,discount,start_date,end_date,min_quantity
1,1,0.19861557161217017,0.1334552376463854,0.9137803560886852,2023-02-07,2023-12-24,13
2,2,1.097354972293318,0.7373428348096037,0.1430961433303054,2023-12-02,2021-09-16,20
3,3,2.6499368345311933,1.780565074176696,0.5744833238344877,2020-12-31,2021-02-12,11
4,4,2.7368056696557272,1.838934621647258,0.16839926617585188,2023-06-07,2021-12-30,19
5,5,1.5211902911576,1.0221293837334364,0.24553453300725148,2021-01-03,2020-06-21,12
6,6,0.9253671371194566,0.6217795019394402,0.8474820438657537,2022-01-24,2021-10-13,11
7,7,0.34173793114255235,0.22962306753303355,0.7011852157939433,2022-07-28,2020-02-23,15
8,8,1.838949116444266,1.1963459770234073,0.6699177072292913,2023-11-09,2020-01-04,10
9,9,3.0015857775519663,1.9527104026718747,0.4426513074100523,2020-12-11,2020-11-11,14
10,10,0.20775092095555214,0.1351543532583738,0.7162858770330323,2020-07-30,2020-06-19,12
11,11,1.1182203245893947,0.7274689521236005,0.8316852012290362,2023-02-22,2021-05-07,12
12,12,0.18817015636157913,0.12241589913826387,0.009914840103589229,2022-06-12,2022-10-05,19
13,13,2.5575740127150297,1.6638542924817095,0.39857967269925076,2021-10-22,2023-11-28,13
14,14,3.951041506632355,1.1628887567602633,0.2567633197790037,2023-03-22,2023-04-10,17
15,15,1.8809831726410566,0.5536196416685909,0.1860282590521083,2020-05-10,2022-11-20,16
16,16,4.1047428573167295,1.20812684709915,0.10859549543301705,2020-11-26,2020-04-03,10
17,17,6.123852850452272,1.8024006115580096,0.6440761194165011,2023-04-17,2021-02-07,17
18,18,4.714889678683505,1.3877080733022635,0.13659769865334814,2022-03-23,2021-10-04,18
19,19,4.818395395319871,1.4181723531471586,0.2612783907772521,2020-12-31,2021-02-20,15
20,20,0.38236171063099217,0.1125384619630057,0.10635557665270334,2021-06-07,2020-11-03,17
21,21,6.115279296345636,1.7998772035757482,0.9133113226007008,2023-10-19,2023-05-10,15
22,22,6.764532126557744,1.9909682906425523,0.38447012964652383,2021-10-20,2022-04-08,20
23,23,0.8852105072214578,0.4480612791587123,0.4039305755754683,2020-04-02,2021-01-15,11
24,24,1.676057685803567,0.8483592823611408,0.6587140334063051,2023-12-01,2023-05-06,10
25,25,0.8108341379398818,0.41041467319592684,0.2835692672977633,2020-03-16,2020-12-18,16
26,26,3.5988015161447624,1.8215820955667126,0.8998910206765017,2020-09-28,2022-06-04,15
27,27,2.0627801986435674,1.0441041163514733,0.1874853854510028,2022-11-01,2022-04-15,15
28,28,1.0331357733907613,0.5229356547326679,0.5642835417621798,2020-05-07,2020-08-14,17
29,29,1.667471449792816,0.8440132427934324,0.25856319392800065,2022-07-17,2020-08-17,12
30,30,9.116409243779245,1.462052411008873,0.9126679902215021,2022-09-02,2023-04-25,19
31,31,11.203906342903826,1.7968366539202731,0.8158193319656819,2023-04-10,2020-07-21,10
32,32,5.877922064380677,0.942677088768715,0.7763075116451783,2022-02-27,2023-07-01,20
33,33,5.375686617110773,0.8621306228368414,0.8572758151865311,2021-07-16,2023-03-29,19
34,34,7.104859964822817,1.1394483687245442,0.46327163461398135,2022-10-03,2022-11-21,14
35,35,7.219378288736027,1.1578143489152926,0.4134965469906605,2021-11-22,2023-04-24,13
36,36,4.659021950765586,0.7471948761743232,0.5853393167159815,2020-10-13,2020-07-25,10
37,37,2.321982462233685,0.37239004595429126,0.3900088709896886,2022-01-26,2023-07-13,15
38,38,5.621576568663158,1.0663116458666169,0.656943408751414,2022-10-27,2020-01-09,13
39,39,5.209989056221916,0.9882409209643079,0.1991041414549365,2022-08-27,2020-09-12,10
40,40,5.641162281995972,1.070026702303952,0.501787001674882,2023-12-25,2020-08-06,17
41,41,9.307257242791229,1.76541876960057,0.5737360778923241,2020-01-19,2023-01-11,17
42,42,5.947016371996916,1.1280417047006017,0.730186232369153,2023-10-27,2020-02-16,11
43,43,8.657043950922914,1.6420850398277969,0.6738461967713679,2021-12-24,2020-09-18,14
44,44,10.349903512049458,1.9631899545786338,0.8609214586444073,2020-03-01,2020-11-03,15
45,45,2.8384548943135077,0.5384036796626522,0.9298258778945119,2022-08-31,2022-08-08,17
46,46,9.512695103659386,1.6845074333000338,0.22058461175155564,2023-01-27,2021-04-21,17
47,47,8.433275103861849,1.4933638095953063,0.2387807693081826,2020-09-10,2022-09-12,12
48,48,6.87776208886751,1.2179136655719862,0.4356315132596653,2021-11-13,2020-12-17,16
49,49,10.052449488929827,1.7800871049111406,0.6790252146587439,2020-09-12,2022-11-22,13
50,50,4.405526885210075,0.7801304157099199,0.5445646815751874,2020-05-26,2022-05-10,17
51,51,5.484952717032856,0.9712750721493,0.5491467432014094,2023-07-07,2022-02-26,10
52,52,4.430030426663246,0.7844695012445928,0.6549030044204214,2021-04-28,2021-08-20,11
53,53,0.9725861480532917,0.3819217341640554,0.12817584761395595,2022-01-29,2022-06-29,16
54,54,1.5950873070044427,0.6263697171233303,0.23450330476527126,2023-06-29,2023-03-25,11
55,55,1.8404915261172832,0.7227367126047591,0.5917038331541872,2021-04-21,2023-11-25,14
56,56,3.8285876395725147,1.5034357970564902,0.6073258517456829,2022-06-14,2021-02-14,11
57,57,2.629529526922563,1.032581513697258,0.5383288544235016,2021-11-30,2022-04-23,10
58,58,3.7867938454534005,1.4870239261294607,0.8009135112297672,2023-12-28,2023-06-14,13
59,59,1.2083409905565434,0.26711407915098045,0.13586632835936108,2020-10-21,2022-01-08,14
60,60,6.848364035072139,1.5138892640532224,0.4792107860164989,2022-02-12,2023-04-28,17
61,61,0.982094772832164,0.2171004235842641,0.4383478124049258,2021-08-26,2023-08-23,20
62,62,2.08926930691708,0.4618507949138786,0.5481018415224855,2021-08-07,2022-01-02,19
63,63,1.2565632321327311,0.27777401682907477,0.9327224097301384,2021-07-10,2020-09-26,15
64,64,0.7206560029047113,0.15930715427592745,0.3674113530157096,2020-09-23,2022-10-29,18
65,65,6.748660460913234,1.4918489388406755,0.2873377726356894,2022-10-28,2023-08-16,13
66,66,1.3085926684090432,0.2892755673585248,0.8185742786983741,2023-02-05,2021-06-08,12
67,67,5.8158840466886375,0.8131812921230126,0.668582155072789,2020-05-11,2023-07-01,17
68,68,6.667943058217462,0.932316825499846,0.9860574412067598,2023-12-07,2020-05-29,10
69,69,1.4900652322382917,0.20834204416248756,0.18810778667615025,2023-07-02,2021-06-08,17
