id,bundle_id,price,discount,start_date,end_date,min_quantity
1,1,0.10211634614938604,0.30357663793017703,2024-01-09 16:08:26.634745,2024-02-08 16:08:26.634745,100
2,2,4.004415928631713,0.14959531161052847,2024-01-09 16:08:26.636975,2024-02-08 16:08:26.636975,100
3,3,8.880168130110958,0.3398125629050472,2024-01-09 16:08:26.639121,2024-02-08 16:08:26.639121,100
4,4,3.844651077886186,0.15072952548959173,2024-01-09 16:08:26.641503,2024-02-08 16:08:26.641503,100
5,5,6.644163320285687,0.12897818552044504,2024-01-09 16:08:26.643695,2024-02-08 16:08:26.643695,100
6,6,14.007570820999216,0.13306540917313914,2024-01-09 16:08:26.646492,2024-02-08 16:08:26.646492,100
7,7,12.427702712997043,0.032352553115206996,2024-01-09 16:08:26.648829,2024-02-08 16:08:26.648829,100
8,8,4.323811181883763,0.1904106544021052,2024-01-09 16:08:26.651030,2024-02-08 16:08:26.651030,100
9,9,9.069360693272705,0.12584692126828198,2024-01-09 16:08:26.653178,2024-02-08 16:08:26.653178,100
10,10,12.944369859185834,0.15267784984089455,2024-01-09 16:08:26.655318,2024-02-08 16:08:26.655318,100
11,11,8.230637343760153,0.10203039955555249,2024-01-09 16:08:26.657494,2024-02-08 16:08:26.657494,100
12,12,3.8062384984104556,0.0729462380928561,2024-01-09 16:08:26.660137,2024-02-08 16:08:26.660137,100
13,13,10.494426319020267,0.29345617557699166,2024-01-09 16:08:26.661826,2024-02-08 16:08:26.661826,100
14,14,17.49113665673645,0.39685970054264563,2024-01-09 16:08:26.663470,2024-02-08 16:08:26.663470,100
15,15,3.427165335632437,0.26890847639337456,2024-01-09 16:08:26.665303,2024-02-08 16:08:26.665303,100
16,16,18.10688200794661,0.2627587064784446,2024-01-09 16:08:26.667432,2024-02-08 16:08:26.667432,100
17,17,53.64735226620193,0.38889785321680437,2024-01-09 16:08:26.670271,2024-02-08 16:08:26.670271,100
18,18,3.813917761221629,0.2937532290556441,2024-01-09 16:08:26.672394,2024-02-08 16:08:26.672394,100
19,19,6.124980344137873,0.18755780120989232,2024-01-09 16:08:26.674584,2024-02-08 16:08:26.674584,100
20,20,4.5466679417071525,0.3603188818647634,2024-01-09 16:08:26.676535,2024-02-08 16:08:26.676535,100
21,21,12.165507322908091,0.3276910020363634,2024-01-09 16:08:26.678709,2024-02-08 16:08:26.678709,100
22,22,15.402114270519366,0.37648328547073695,2024-01-09 16:08:26.680188,2024-02-08 16:08:26.680188,100
23,23,10.605194644155201,0.016566353106781364,2024-01-09 16:08:26.682677,2024-02-08 16:08:26.682677,100
24,24,47.90709498454552,0.15451263933820814,2024-01-09 16:08:26.684805,2024-02-08 16:08:26.684805,100
25,25,3.827175042338738,0.18938682341219615,2024-01-09 16:08:26.686001,2024-02-08 16:08:26.686001,100
26,26,3.337020564526053,0.12343457704224453,2024-01-09 16:08:26.687241,2024-02-08 16:08:26.687241,100
27,27,17.2360116512055,0.29294047149098196,2024-01-09 16:08:26.689130,2024-02-08 16:08:26.689130,100
28,28,1.7167407905957364,0.06475762302578172,2024-01-09 16:08:26.690711,2024-02-08 16:08:26.690711,100
29,29,0.7721656933541924,0.3487245683558946,2024-01-09 16:08:26.691976,2024-02-08 16:08:26.691976,100
30,30,5.314062382738545,0.2563338323329702,2024-01-09 16:08:26.693645,2024-02-08 16:08:26.693645,100
31,31,6.150619279986277,0.3728864055869237,2024-01-09 16:08:26.695923,2024-02-08 16:08:26.695923,100
32,32,11.661580765250934,0.3092392303650658,2024-01-09 16:08:26.697115,2024-02-08 16:08:26.697115,100
33,33,7.1282494639063,0.39772858838366576,2024-01-09 16:08:26.699925,2024-02-08 16:08:26.699925,100
34,34,17.8481502650443,0.2142536494918441,2024-01-09 16:08:26.701767,2024-02-08 16:08:26.701767,100
35,35,13.558007229783112,0.30716202537753245,2024-01-09 16:08:26.704432,2024-02-08 16:08:26.704432,100
36,36,7.2004960714601545,0.3869855008850558,2024-01-09 16:08:26.706635,2024-02-08 16:08:26.706635,100
37,37,1.4096177093346636,0.02721153776490395,2024-01-09 16:08:26.707872,2024-02-08 16:08:26.707872,100
38,38,7.788032630880108,0.02655572981525958,2024-01-09 16:08:26.709487,2024-02-08 16:08:26.709487,100
39,39,0.8996189624084727,0.06114046847396959,2024-01-09 16:08:26.710569,2024-02-08 16:08:26.710569,100
40,40,12.462495197790785,0.2618350559575191,2024-01-09 16:08:26.712859,2024-02-08 16:08:26.712859,100
41,41,32.288579495205006,0.0988328527468772,2024-01-09 16:08:26.714964,2024-02-08 16:08:26.714964,100
42,42,16.714529074157706,0.29629539976638525,2024-01-09 16:08:26.717099,2024-02-08 16:08:26.717099,100
43,43,7.9015393433640995,0.046031628918907996,2024-01-09 16:08:26.718614,2024-02-08 16:08:26.718614,100
44,44,2.009080260279441,0.3732239427544551,2024-01-09 16:08:26.719957,2024-02-08 16:08:26.719957,100
45,45,10.763590524904853,0.352018571932456,2024-01-09 16:08:26.722099,2024-02-08 16:08:26.722099,100
46,46,6.3641658725714505,0.2640940899062981,2024-01-09 16:08:26.723587,2024-02-08 16:08:26.723587,100
47,47,13.55798847486471,0.3672867267960861,2024-01-09 16:08:26.725391,2024-02-08 16:08:26.725391,100
48,48,0.8951497205328124,0.25609621107959407,2024-01-09 16:08:26.727654,2024-02-08 16:08:26.727654,100
49,49,3.541708349036233,0.1895535876713963,2024-01-09 16:08:26.728958,2024-02-08 16:08:26.728958,100
50,50,5.227939577525058,0.12485113298745115,2024-01-09 16:08:26.730773,2024-02-08 16:08:26.730773,100
51,51,1.1176505177158065,0.14721529950916343,2024-01-09 16:08:26.732239,2024-02-08 16:08:26.732239,100
52,52,21.58528527832627,0.044714380921555864,2024-01-09 16:08:26.734658,2024-02-08 16:08:26.734658,100
53,53,9.349350964020308,0.00842586869985098,2024-01-09 16:08:26.736247,2024-02-08 16:08:26.736247,100
54,54,13.777387217599065,0.3001726477319422,2024-01-09 16:08:26.738390,2024-02-08 16:08:26.738390,100
55,55,9.098782586145868,0.37608320147081403,2024-01-09 16:08:26.740255,2024-02-08 16:08:26.740255,100
56,56,3.4876955374962364,0.3502351673807501,2024-01-09 16:08:26.742436,2024-02-08 16:08:26.742436,100
57,57,36.96034647615005,0.2449761769895695,2024-01-09 16:08:26.745056,2024-02-08 16:08:26.745056,100
58,58,0.6872678574002263,0.29268043247663805,2024-01-09 16:08:26.747011,2024-02-08 16:08:26.747011,100
59,59,0.7181276580886439,0.2831491004962087,2024-01-09 16:08:26.748232,2024-02-08 16:08:26.748232,100
60,60,9.448828529950374,0.011691703468487758,2024-01-09 16:08:26.749414,2024-02-08 16:08:26.749414,100
61,61,5.578800430492094,0.340940057123018,2024-01-09 16:08:26.751515,2024-02-08 16:08:26.751515,100
62,62,19.389551670714155,0.0885136627104855,2024-01-09 16:08:26.753692,2024-02-08 16:08:26.753692,100
63,63,12.926074905927056,0.3072444796900773,2024-01-09 16:08:26.756402,2024-02-08 16:08:26.756402,100
64,64,11.251963407302522,0.14737114521455658,2024-01-09 16:08:26.758793,2024-02-08 16:08:26.758793,100
65,65,6.246138042845443,0.31942798487368446,2024-01-09 16:08:26.760363,2024-02-08 16:08:26.760363,100
66,66,6.956909115061206,0.3202141482787504,2024-01-09 16:08:26.761969,2024-02-08 16:08:26.761969,100
67,67,23.651732494157784,0.3602337919420106,2024-01-09 16:08:26.764659,2024-02-08 16:08:26.764659,100
68,68,0.39021025710659407,0.20911443992062573,2024-01-09 16:08:26.766709,2024-02-08 16:08:26.766709,100
69,69,0.6098150432103532,0.01275993097528776,2024-01-09 16:08:26.769533,2024-02-08 16:08:26.769533,100
70,70,5.287056590929165,0.2199076459473509,2024-01-09 16:08:26.771483,2024-02-08 16:08:26.771483,100
71,71,16.525346011369425,0.04881281657264869,2024-01-09 16:08:26.773015,2024-02-08 16:08:26.773015,100
72,72,40.128724065090466,0.18176266699625462,2024-01-09 16:08:26.776201,2024-02-08 16:08:26.776201,100
73,73,57.717791230833015,0.012245597504976315,2024-01-09 16:08:26.779281,2024-02-08 16:08:26.779281,100
74,74,11.754133157802032,0.33702506461753434,2024-01-09 16:08:26.782608,2024-02-08 16:08:26.782608,100
75,75,6.367501409794301,0.3534639509518068,2024-01-09 16:08:26.786069,2024-02-08 16:08:26.786069,100
76,76,12.51469170787476,0.021566375686203232,2024-01-09 16:08:26.788714,2024-02-08 16:08:26.788714,100
77,77,2.4974615492036896,0.3460648272515693,2024-01-09 16:08:26.791015,2024-02-08 16:08:26.791015,100
78,78,1.02579787647072,0.3890573638157324,2024-01-09 16:08:26.793691,2024-02-08 16:08:26.793691,100
79,79,13.055639572077038,0.32061288888862155,2024-01-09 16:08:26.795708,2024-02-08 16:08:26.795708,100
80,80,24.14849237896184,0.10960568622343572,2024-01-09 16:08:26.799037,2024-02-08 16:08:26.799037,100
81,81,23.129359402250174,0.19678778014541798,2024-01-09 16:08:26.800996,2024-02-08 16:08:26.800996,100
82,82,6.297378059921469,0.2822018169127623,2024-01-09 16:08:26.802580,2024-02-08 16:08:26.802580,100
83,83,2.6745891934584423,0.17792805380111565,2024-01-09 16:08:26.803766,2024-02-08 16:08:26.803766,100
84,84,14.075780073029318,0.2235058291687061,2024-01-09 16:08:26.804911,2024-02-08 16:08:26.804911,100
85,85,6.933917234637624,0.1294181150782829,2024-01-09 16:08:26.806773,2024-02-08 16:08:26.806773,100
86,86,10.437645302647857,0.11029118222710332,2024-01-09 16:08:26.808630,2024-02-08 16:08:26.808630,100
87,87,4.643629319439417,0.18493218035015474,2024-01-09 16:08:26.810341,2024-02-08 16:08:26.810341,100
88,88,1.5700794571494676,0.2639223816144462,2024-01-09 16:08:26.811746,2024-02-08 16:08:26.811746,100
89,89,42.39485697785766,0.10796067230881477,2024-01-09 16:08:26.814264,2024-02-08 16:08:26.814264,100
90,90,34.79400425128359,0.245214143548527,2024-01-09 16:08:26.816417,2024-02-08 16:08:26.816417,100
91,91,3.190699276349166,0.12071407233566118,2024-01-09 16:08:26.817905,2024-02-08 16:08:26.817905,100
92,92,22.073985202447506,0.09996308215416497,2024-01-09 16:08:26.819729,2024-02-08 16:08:26.819729,100
93,93,7.048185213747729,0.318676836141221,2024-01-09 16:08:26.821832,2024-02-08 16:08:26.821832,100
94,94,8.947018348810975,0.38299865402210853,2024-01-09 16:08:26.823343,2024-02-08 16:08:26.823343,100
95,95,15.076633446330131,0.14470127023974083,2024-01-09 16:08:26.825175,2024-02-08 16:08:26.825175,100
96,96,2.1493155213127135,0.24516171660121977,2024-01-09 16:08:26.826868,2024-02-08 16:08:26.826868,100
97,97,1.957205246430171,0.3636986893909341,2024-01-09 16:08:26.828766,2024-02-08 16:08:26.828766,100
98,98,1.0378373638311305,0.2420461763552469,2024-01-09 16:08:26.830492,2024-02-08 16:08:26.830492,100
99,99,44.826453652524265,0.36578989370230874,2024-01-09 16:08:26.833054,2024-02-08 16:08:26.833054,100
100,100,10.794204552022165,0.17861723241571933,2024-01-09 16:08:26.835713,2024-02-08 16:08:26.835713,100
101,101,8.997208388215617,0.23305015207298335,2024-01-09 16:08:26.837929,2024-02-08 16:08:26.837929,100
102,102,15.1692808670851,0.21096802804990522,2024-01-09 16:08:26.840280,2024-02-08 16:08:26.840280,100
103,103,3.0719163384877954,0.06214933508070302,2024-01-09 16:08:26.843522,2024-02-08 16:08:26.843522,100
104,104,20.22847136967237,0.24619334343056784,2024-01-09 16:08:26.847086,2024-02-08 16:08:26.847086,100
105,105,0.7600666291105784,0.07312087762217527,2024-01-09 16:08:26.849907,2024-02-08 16:08:26.849907,100
106,106,10.475339609685818,0.05272057753467303,2024-01-09 16:08:26.852747,2024-02-08 16:08:26.852747,100
107,107,4.997478634152523,0.204260212462658,2024-01-09 16:08:26.855184,2024-02-08 16:08:26.855184,100
108,108,2.4032199850489366,0.05803791722377061,2024-01-09 16:08:26.857677,2024-02-08 16:08:26.857677,100
109,109,12.629041089118845,0.2882660284969521,2024-01-09 16:08:26.863171,2024-02-08 16:08:26.863171,100
110,110,0.9136956536293878,0.06365797322170041,2024-01-09 16:08:26.865097,2024-02-08 16:08:26.865097,100
111,111,11.50676891425956,0.39034922205916883,2024-01-09 16:08:26.868015,2024-02-08 16:08:26.868015,100
112,112,13.902601413760943,0.2948314697953133,2024-01-09 16:08:26.871989,2024-02-08 16:08:26.871989,100
113,113,12.664800132519323,0.2591966766188127,2024-01-09 16:08:26.875382,2024-02-08 16:08:26.875382,100
114,114,12.733318408574107,0.15328276304195484,2024-01-09 16:08:26.878328,2024-02-08 16:08:26.878328,100
115,115,17.89765582538126,0.31380734905206253,2024-01-09 16:08:26.881150,2024-02-08 16:08:26.881150,100
116,116,11.552624888817325,0.1241020913497366,2024-01-09 16:08:26.884215,2024-02-08 16:08:26.884215,100
117,117,7.1718636230411565,0.2991340130612962,2024-01-09 16:08:26.886918,2024-02-08 16:08:26.886918,100
118,118,1.8972885476385721,0.2117942865904917,2024-01-09 16:08:26.890093,2024-02-08 16:08:26.890093,100
119,119,10.861085004514441,0.10204515202667973,2024-01-09 16:08:26.892831,2024-02-08 16:08:26.892831,100
120,120,13.405648715137291,0.082493713848462,2024-01-09 16:08:26.894703,2024-02-08 16:08:26.894703,100
121,121,3.2669149819457726,0.08319583189984883,2024-01-09 16:08:26.896604,2024-02-08 16:08:26.896604,100
122,122,10.04321352872266,0.2481723493753606,2024-01-09 16:08:26.898912,2024-02-08 16:08:26.898912,100
123,123,9.582027426721721,0.3322940939973321,2024-01-09 16:08:26.901212,2024-02-08 16:08:26.901212,100
124,124,0.5405717191545912,0.1654263234675935,2024-01-09 16:08:26.902740,2024-02-08 16:08:26.902740,100
125,125,7.341738155414179,0.18131661871011914,2024-01-09 16:08:26.904419,2024-02-08 16:08:26.904419,100
126,126,1.793020861639722,0.3053824414041637,2024-01-09 16:08:26.906587,2024-02-08 16:08:26.906587,100
127,127,16.61943409195723,0.06914468066623769,2024-01-09 16:08:26.909197,2024-02-08 16:08:26.909197,100
128,128,5.849796811964598,0.3423390162533816,2024-01-09 16:08:26.911296,2024-02-08 16:08:26.911296,100
129,129,35.14354784266772,0.1509149894171714,2024-01-09 16:08:26.914227,2024-02-08 16:08:26.914227,100
130,130,20.695148308788518,0.056063237157664994,2024-01-09 16:08:26.916989,2024-02-08 16:08:26.916989,100
131,131,11.11293098152913,0.2707073880934023,2024-01-09 16:08:26.918305,2024-02-08 16:08:26.918305,100
132,132,1.7088711053960204,0.3959666432820931,2024-01-09 16:08:26.920377,2024-02-08 16:08:26.920377,100
133,133,10.898656705597869,0.026574534177097722,2024-01-09 16:08:26.921775,2024-02-08 16:08:26.921775,100
134,134,14.564441839989707,0.0692719992769888,2024-01-09 16:08:26.924125,2024-02-08 16:08:26.924125,100
135,135,5.868950953261585,0.19652822177943774,2024-01-09 16:08:26.925884,2024-02-08 16:08:26.925884,100
136,136,3.348526278558926,0.2779714541034923,2024-01-09 16:08:26.927358,2024-02-08 16:08:26.927358,100
137,137,13.806166043930665,0.3555155717246441,2024-01-09 16:08:26.929074,2024-02-08 16:08:26.929074,100
138,138,6.183568164243063,0.02094044550645857,2024-01-09 16:08:26.930686,2024-02-08 16:08:26.930686,100
139,139,10.048725278962092,0.35149088235333736,2024-01-09 16:08:26.932508,2024-02-08 16:08:26.932508,100
